Name,Accuracy,F1 Score,Recall,Precision,ROC AUC,Best FPR,Best TPR
AdaBoostClassifier,0.584 ± 0.064,0.497 ± 0.136,0.442 ± 0.167,0.623 ± 0.087,0.586 ± 0.063,"[0.0, 0.148, 1.0]","[0.0, 0.385, 1.0]"
RandomForestClassifier,0.55 ± 0.077,0.53 ± 0.086,0.513 ± 0.102,0.556 ± 0.086,0.576 ± 0.084,"[0.0, 0.0, 0.0, 0.074, 0.074, 0.148, 0.148, 0.259, 0.259, 0.37, 0.37, 0.444, 0.444, 0.481, 0.519, 0.519, 0.63, 0.63, 0.667, 0.667, 0.741, 0.741, 0.852, 0.852, 0.963, 0.963, 1.0]","[0.0, 0.038, 0.192, 0.192, 0.346, 0.346, 0.423, 0.423, 0.538, 0.538, 0.615, 0.615, 0.692, 0.731, 0.731, 0.769, 0.769, 0.808, 0.808, 0.846, 0.846, 0.885, 0.885, 0.923, 0.923, 1.0, 1.0]"
ExtraTreesClassifier,0.562 ± 0.067,0.511 ± 0.102,0.471 ± 0.122,0.576 ± 0.082,0.583 ± 0.08,"[0.0, 0.0, 0.0, 0.074, 0.074, 0.111, 0.111, 0.259, 0.259, 0.296, 0.296, 0.444, 0.444, 0.556, 0.593, 0.593, 0.704, 0.778, 0.778, 0.815, 0.815, 0.889, 0.926, 0.926, 1.0, 1.0]","[0.0, 0.038, 0.077, 0.077, 0.115, 0.115, 0.192, 0.192, 0.269, 0.269, 0.308, 0.308, 0.423, 0.423, 0.462, 0.577, 0.577, 0.577, 0.692, 0.769, 0.846, 0.846, 0.846, 0.885, 0.885, 1.0]"
XGBClassifier,0.57 ± 0.068,0.537 ± 0.089,0.509 ± 0.121,0.582 ± 0.083,0.573 ± 0.09,"[0.0, 0.0, 0.0, 0.0, 0.074, 0.074, 0.111, 0.148, 0.222, 0.296, 0.333, 0.333, 0.481, 0.519, 0.519, 0.593, 0.593, 0.667, 0.704, 0.852, 0.852, 0.926, 0.963, 1.0]","[0.0, 0.038, 0.154, 0.269, 0.269, 0.308, 0.308, 0.346, 0.346, 0.346, 0.346, 0.385, 0.5, 0.5, 0.538, 0.538, 0.615, 0.692, 0.692, 0.769, 0.846, 0.885, 0.885, 1.0]"
AdaBoostClassifier_Bagging,0.736 ± 0.069,0.72 ± 0.079,0.692 ± 0.097,0.783 ± 0.083,0.742 ± 0.066,"[0.0, 0.0, 0.0, 0.074, 0.111, 0.185, 0.185, 0.185, 0.222, 0.222, 0.296, 0.296, 0.333, 0.333, 0.37, 0.741, 1.0]","[0.0, 0.038, 0.077, 0.154, 0.269, 0.269, 0.346, 0.423, 0.423, 0.5, 0.538, 0.577, 0.577, 0.615, 0.692, 0.808, 1.0]"
RandomForestClassifier_Bagging,0.698 ± 0.075,0.704 ± 0.076,0.704 ± 0.088,0.708 ± 0.077,0.738 ± 0.08,"[0.0, 0.0, 0.0, 0.037, 0.037, 0.111, 0.111, 0.185, 0.185, 0.259, 0.259, 0.296, 0.296, 0.407, 0.407, 0.519, 0.519, 0.667, 0.667, 0.815, 0.815, 0.889, 0.889, 0.926, 0.926, 1.0, 1.0]","[0.0, 0.038, 0.115, 0.115, 0.308, 0.308, 0.385, 0.385, 0.423, 0.423, 0.5, 0.5, 0.538, 0.538, 0.577, 0.577, 0.615, 0.615, 0.654, 0.654, 0.769, 0.769, 0.846, 0.846, 0.923, 0.923, 1.0]"
ExtraTreesClassifier_Bagging,0.774 ± 0.074,0.76 ± 0.081,0.769 ± 0.102,0.792 ± 0.077,0.805 ± 0.087,"[0.0, 0.0, 0.0, 0.111, 0.111, 0.185, 0.185, 0.37, 0.37, 0.407, 0.407, 0.519, 0.519, 0.667, 0.667, 0.704, 0.704, 0.741, 0.741, 0.778, 0.778, 0.852, 0.852, 1.0, 1.0]","[0.0, 0.038, 0.115, 0.115, 0.154, 0.154, 0.231, 0.231, 0.577, 0.577, 0.615, 0.615, 0.692, 0.692, 0.731, 0.731, 0.808, 0.808, 0.885, 0.885, 0.923, 0.923, 0.962, 0.962, 1.0]"
XGBClassifier_Bagging,0.679 ± 0.072,0.691 ± 0.081,0.731 ± 0.1,0.737 ± 0.083,0.744 ± 0.084,"[0.0, 0.0, 0.0, 0.037, 0.037, 0.111, 0.111, 0.185, 0.185, 0.481, 0.481, 0.593, 0.593, 0.815, 0.815, 0.852, 0.852, 0.889, 0.889, 0.963, 0.963, 1.0, 1.0]","[0.0, 0.038, 0.385, 0.385, 0.423, 0.423, 0.462, 0.462, 0.5, 0.5, 0.538, 0.538, 0.692, 0.692, 0.808, 0.808, 0.846, 0.846, 0.885, 0.885, 0.962, 0.962, 1.0]"
