Name,Accuracy,F1 Score,Recall,Precision,ROC AUC,Best FPR,Best TPR
AdaBoostClassifier,0.532 ± 0.053,0.445 ± 0.134,0.407 ± 0.17,0.543 ± 0.075,0.54 ± 0.06,"[0.0, 0.022, 0.489, 1.0]","[0.0, 0.045, 0.523, 1.0]"
RandomForestClassifier,0.548 ± 0.062,0.532 ± 0.068,0.517 ± 0.08,0.552 ± 0.067,0.57 ± 0.067,"[0.0, 0.0, 0.044, 0.044, 0.111, 0.111, 0.156, 0.156, 0.178, 0.178, 0.2, 0.2, 0.267, 0.267, 0.333, 0.333, 0.356, 0.356, 0.4, 0.556, 0.578, 0.578, 0.6, 0.6, 0.622, 0.622, 0.644, 0.644, 0.667, 0.667, 0.667, 0.711, 0.778, 0.778, 0.8, 0.822, 0.867, 0.867, 0.889, 0.889, 0.911, 0.911, 0.956, 0.956, 0.978, 0.978, 1.0]","[0.0, 0.023, 0.023, 0.159, 0.159, 0.205, 0.205, 0.227, 0.227, 0.295, 0.295, 0.386, 0.386, 0.409, 0.409, 0.432, 0.432, 0.5, 0.5, 0.5, 0.523, 0.545, 0.545, 0.591, 0.591, 0.636, 0.636, 0.659, 0.659, 0.705, 0.773, 0.773, 0.818, 0.841, 0.841, 0.864, 0.864, 0.886, 0.886, 0.932, 0.932, 0.955, 0.955, 0.977, 0.977, 1.0, 1.0]"
ExtraTreesClassifier,0.551 ± 0.048,0.507 ± 0.066,0.468 ± 0.085,0.562 ± 0.062,0.57 ± 0.057,"[0.0, 0.022, 0.022, 0.156, 0.156, 0.178, 0.178, 0.267, 0.267, 0.289, 0.289, 0.311, 0.311, 0.356, 0.356, 0.378, 0.378, 0.4, 0.4, 0.422, 0.422, 0.444, 0.444, 0.444, 0.533, 0.533, 0.556, 0.556, 0.622, 0.644, 0.667, 0.667, 0.667, 0.711, 0.756, 0.756, 0.778, 0.8, 0.822, 0.822, 0.867, 0.867, 0.978, 1.0, 1.0]","[0.0, 0.0, 0.068, 0.068, 0.182, 0.182, 0.227, 0.227, 0.25, 0.25, 0.273, 0.273, 0.295, 0.295, 0.341, 0.341, 0.364, 0.364, 0.386, 0.386, 0.409, 0.409, 0.455, 0.523, 0.523, 0.545, 0.545, 0.568, 0.568, 0.614, 0.614, 0.636, 0.727, 0.773, 0.773, 0.818, 0.841, 0.841, 0.886, 0.909, 0.909, 0.932, 0.932, 0.977, 1.0]"
XGBClassifier,0.525 ± 0.047,0.512 ± 0.064,0.507 ± 0.097,0.527 ± 0.047,0.53 ± 0.055,"[0.0, 0.022, 0.044, 0.044, 0.089, 0.089, 0.111, 0.111, 0.111, 0.156, 0.178, 0.178, 0.178, 0.222, 0.267, 0.467, 0.467, 0.556, 0.556, 0.578, 0.6, 0.6, 0.622, 0.644, 0.822, 0.844, 0.867, 0.867, 0.933, 1.0]","[0.0, 0.0, 0.023, 0.045, 0.045, 0.091, 0.091, 0.114, 0.159, 0.205, 0.227, 0.273, 0.318, 0.318, 0.341, 0.477, 0.5, 0.5, 0.523, 0.523, 0.568, 0.591, 0.659, 0.659, 0.864, 0.886, 0.886, 0.909, 0.932, 1.0]"
AdaBoostClassifier_Bagging,0.636 ± 0.054,0.64 ± 0.082,0.727 ± 0.112,0.667 ± 0.059,0.705 ± 0.067,"[0.0, 0.0, 0.022, 0.022, 0.044, 0.089, 0.111, 0.156, 0.156, 0.2, 0.2, 0.222, 0.222, 0.244, 0.244, 0.267, 0.267, 0.356, 0.378, 0.4, 0.4, 0.422, 0.444, 0.578, 0.689, 0.756, 1.0]","[0.0, 0.023, 0.023, 0.068, 0.068, 0.068, 0.068, 0.114, 0.136, 0.136, 0.159, 0.182, 0.227, 0.318, 0.341, 0.341, 0.364, 0.364, 0.364, 0.409, 0.432, 0.432, 0.523, 0.727, 0.841, 0.864, 1.0]"
RandomForestClassifier_Bagging,0.682 ± 0.061,0.695 ± 0.07,0.75 ± 0.09,0.674 ± 0.062,0.742 ± 0.075,"[0.0, 0.0, 0.044, 0.044, 0.067, 0.067, 0.089, 0.089, 0.244, 0.244, 0.267, 0.267, 0.4, 0.4, 0.422, 0.422, 0.489, 0.489, 0.533, 0.533, 0.667, 0.667, 0.689, 0.689, 0.778, 0.778, 0.822, 0.822, 0.844, 0.844, 0.889, 0.889, 0.911, 0.911, 0.978, 0.978, 1.0]","[0.0, 0.023, 0.023, 0.25, 0.25, 0.295, 0.295, 0.364, 0.364, 0.386, 0.386, 0.409, 0.409, 0.477, 0.477, 0.523, 0.523, 0.545, 0.545, 0.614, 0.614, 0.682, 0.682, 0.705, 0.705, 0.773, 0.773, 0.795, 0.795, 0.841, 0.841, 0.864, 0.864, 0.909, 0.909, 1.0, 1.0]"
ExtraTreesClassifier_Bagging,0.682 ± 0.052,0.667 ± 0.069,0.682 ± 0.091,0.7 ± 0.059,0.652 ± 0.054,"[0.0, 0.0, 0.022, 0.022, 0.067, 0.067, 0.089, 0.089, 0.156, 0.156, 0.222, 0.222, 0.289, 0.289, 0.311, 0.311, 0.333, 0.333, 0.4, 0.4, 0.422, 0.422, 0.444, 0.444, 0.533, 0.533, 0.556, 0.556, 0.6, 0.6, 0.622, 0.622, 0.689, 0.689, 0.733, 0.733, 0.756, 0.756, 0.822, 0.822, 0.844, 0.844, 0.867, 0.867, 0.956, 0.956, 1.0, 1.0]","[0.0, 0.023, 0.023, 0.091, 0.091, 0.159, 0.159, 0.182, 0.182, 0.227, 0.227, 0.25, 0.25, 0.273, 0.273, 0.364, 0.364, 0.409, 0.409, 0.432, 0.432, 0.477, 0.477, 0.5, 0.5, 0.568, 0.568, 0.591, 0.591, 0.614, 0.614, 0.659, 0.659, 0.682, 0.682, 0.705, 0.705, 0.727, 0.727, 0.773, 0.773, 0.795, 0.795, 0.818, 0.818, 0.977, 0.977, 1.0]"
XGBClassifier_Bagging,0.67 ± 0.053,0.667 ± 0.058,0.705 ± 0.078,0.674 ± 0.053,0.68 ± 0.062,"[0.0, 0.022, 0.022, 0.044, 0.044, 0.067, 0.067, 0.089, 0.089, 0.111, 0.111, 0.133, 0.133, 0.178, 0.178, 0.2, 0.2, 0.222, 0.222, 0.244, 0.244, 0.267, 0.267, 0.444, 0.444, 0.467, 0.467, 0.489, 0.489, 0.556, 0.556, 0.622, 0.622, 0.689, 0.689, 0.756, 0.756, 0.844, 0.844, 0.867, 0.867, 0.889, 0.889, 0.933, 0.933, 0.978, 0.978, 1.0]","[0.0, 0.0, 0.023, 0.023, 0.068, 0.068, 0.114, 0.114, 0.159, 0.159, 0.182, 0.182, 0.205, 0.205, 0.227, 0.227, 0.273, 0.273, 0.409, 0.409, 0.432, 0.432, 0.455, 0.455, 0.477, 0.477, 0.523, 0.523, 0.545, 0.545, 0.591, 0.591, 0.636, 0.636, 0.795, 0.795, 0.841, 0.841, 0.864, 0.864, 0.932, 0.932, 0.955, 0.955, 0.977, 0.977, 1.0, 1.0]"
