Name,Accuracy,F1 Score,Recall,Precision,ROC AUC,Best FPR,Best TPR
AdaBoostClassifier,0.56 ± 0.082,0.549 ± 0.129,0.581 ± 0.228,0.568 ± 0.099,0.571 ± 0.09,"[0.0, 0.4, 1.0]","[0.0, 0.286, 1.0]"
RandomForestClassifier,0.563 ± 0.079,0.543 ± 0.097,0.531 ± 0.128,0.57 ± 0.088,0.595 ± 0.089,"[0.0, 0.0, 0.0, 0.133, 0.133, 0.533, 0.533, 0.667, 0.667, 0.733, 0.733, 0.867, 0.867, 1.0]","[0.0, 0.071, 0.143, 0.143, 0.286, 0.286, 0.357, 0.357, 0.5, 0.5, 0.786, 0.786, 1.0, 1.0]"
ExtraTreesClassifier,0.605 ± 0.089,0.573 ± 0.113,0.544 ± 0.145,0.622 ± 0.109,0.65 ± 0.087,"[0.0, 0.0, 0.0, 0.267, 0.267, 0.467, 0.467, 0.533, 0.533, 0.667, 0.667, 0.8, 0.8, 0.867, 0.867, 0.933, 0.933, 1.0]","[0.0, 0.071, 0.286, 0.286, 0.357, 0.357, 0.429, 0.429, 0.5, 0.5, 0.571, 0.571, 0.714, 0.714, 0.786, 0.786, 1.0, 1.0]"
XGBClassifier,0.573 ± 0.077,0.556 ± 0.103,0.55 ± 0.144,0.579 ± 0.091,0.59 ± 0.086,"[0.0, 0.067, 0.133, 0.2, 0.2, 0.267, 0.333, 0.4, 0.4, 0.467, 0.6, 0.667, 1.0, 1.0]","[0.0, 0.071, 0.071, 0.143, 0.286, 0.286, 0.357, 0.357, 0.429, 0.429, 0.857, 0.857, 0.929, 1.0]"
AdaBoostClassifier_Bagging,0.714 ± 0.096,0.733 ± 0.109,0.867 ± 0.148,0.714 ± 0.096,0.844 ± 0.109,"[0.0, 0.0, 0.067, 0.2, 0.2, 0.267, 0.267, 0.333, 0.333, 0.6, 0.733, 0.933, 0.933, 1.0]","[0.0, 0.071, 0.143, 0.143, 0.286, 0.286, 0.357, 0.357, 0.429, 0.571, 0.571, 0.929, 1.0, 1.0]"
RandomForestClassifier_Bagging,0.724 ± 0.083,0.733 ± 0.109,0.786 ± 0.143,0.875 ± 0.102,0.821 ± 0.086,"[0.0, 0.0, 0.0, 0.067, 0.067, 0.133, 0.133, 0.2, 0.2, 0.267, 0.267, 0.8, 0.8, 0.867, 0.867, 1.0]","[0.0, 0.071, 0.143, 0.143, 0.286, 0.286, 0.429, 0.429, 0.643, 0.643, 0.714, 0.714, 0.857, 0.857, 1.0, 1.0]"
ExtraTreesClassifier_Bagging,0.75 ± 0.091,0.759 ± 0.125,0.786 ± 0.154,0.875 ± 0.11,0.821 ± 0.088,"[0.0, 0.0, 0.0, 0.2, 0.2, 0.333, 0.333, 0.4, 0.4, 0.533, 0.533, 0.667, 0.667, 0.933, 0.933, 1.0, 1.0]","[0.0, 0.071, 0.286, 0.286, 0.357, 0.357, 0.429, 0.429, 0.643, 0.643, 0.714, 0.714, 0.786, 0.786, 0.929, 0.929, 1.0]"
XGBClassifier_Bagging,0.75 ± 0.081,0.765 ± 0.108,0.867 ± 0.161,0.8 ± 0.087,0.837 ± 0.088,"[0.0, 0.0, 0.0, 0.067, 0.067, 0.2, 0.2, 0.333, 0.333, 0.6, 0.6, 0.733, 0.733, 0.8, 0.8, 1.0]","[0.0, 0.071, 0.143, 0.143, 0.214, 0.214, 0.286, 0.286, 0.357, 0.357, 0.429, 0.429, 0.643, 0.643, 1.0, 1.0]"
