Name,Accuracy,F1 Score,Recall,Precision,ROC AUC,Best FPR,Best TPR
AdaBoostClassifier,0.535 ± 0.074,0.484 ± 0.144,0.476 ± 0.196,0.543 ± 0.079,0.548 ± 0.073,"[0.0, 0.091, 0.273, 0.545, 1.0]","[0.0, 0.318, 0.364, 0.682, 1.0]"
RandomForestClassifier,0.535 ± 0.086,0.526 ± 0.093,0.52 ± 0.106,0.539 ± 0.099,0.558 ± 0.093,"[0.0, 0.0, 0.091, 0.091, 0.182, 0.182, 0.273, 0.273, 0.364, 0.364, 0.455, 0.455, 0.545, 0.545, 0.636, 0.636, 0.727, 0.727, 0.773, 0.773, 0.909, 0.909, 1.0]","[0.0, 0.045, 0.045, 0.136, 0.136, 0.227, 0.227, 0.318, 0.318, 0.364, 0.364, 0.409, 0.409, 0.682, 0.682, 0.818, 0.818, 0.909, 0.909, 0.955, 0.955, 1.0, 1.0]"
ExtraTreesClassifier,0.552 ± 0.066,0.521 ± 0.092,0.498 ± 0.121,0.555 ± 0.072,0.577 ± 0.08,"[0.0, 0.0, 0.045, 0.045, 0.182, 0.182, 0.364, 0.364, 0.409, 0.409, 0.455, 0.455, 0.5, 0.5, 0.545, 0.545, 0.636, 0.636, 0.727, 0.818, 1.0, 1.0]","[0.0, 0.045, 0.045, 0.136, 0.136, 0.182, 0.182, 0.5, 0.5, 0.591, 0.591, 0.636, 0.636, 0.682, 0.682, 0.773, 0.773, 0.864, 0.864, 0.864, 0.864, 1.0]"
XGBClassifier,0.506 ± 0.086,0.48 ± 0.083,0.458 ± 0.094,0.513 ± 0.097,0.527 ± 0.089,"[0.0, 0.0, 0.136, 0.136, 0.364, 0.364, 0.409, 0.409, 0.455, 0.455, 0.545, 0.545, 0.636, 0.636, 0.682, 0.682, 0.682, 0.682, 0.727, 0.727, 0.773, 0.773, 0.818, 0.818, 0.909, 0.909, 0.955, 0.955, 1.0]","[0.0, 0.045, 0.045, 0.182, 0.182, 0.227, 0.227, 0.318, 0.318, 0.409, 0.409, 0.5, 0.5, 0.545, 0.545, 0.636, 0.727, 0.773, 0.773, 0.818, 0.818, 0.864, 0.864, 0.909, 0.909, 0.955, 0.955, 1.0, 1.0]"
AdaBoostClassifier_Bagging,0.727 ± 0.073,0.739 ± 0.094,0.818 ± 0.13,0.708 ± 0.075,0.768 ± 0.079,"[0.0, 0.0, 0.0, 0.136, 0.136, 0.182, 0.182, 0.227, 0.227, 0.364, 0.364, 0.5, 0.5, 0.545, 0.545, 0.591, 0.591, 0.682, 0.682, 0.773, 0.818, 0.818, 0.955, 0.955, 1.0]","[0.0, 0.045, 0.318, 0.318, 0.364, 0.364, 0.5, 0.5, 0.545, 0.545, 0.636, 0.636, 0.682, 0.682, 0.773, 0.773, 0.818, 0.818, 0.909, 0.909, 0.909, 0.955, 0.955, 1.0, 1.0]"
RandomForestClassifier_Bagging,0.659 ± 0.055,0.681 ± 0.069,0.727 ± 0.097,0.688 ± 0.056,0.769 ± 0.085,"[0.0, 0.0, 0.0, 0.045, 0.045, 0.091, 0.091, 0.136, 0.136, 0.182, 0.182, 0.227, 0.227, 0.5, 0.5, 0.545, 0.545, 0.591, 0.591, 0.636, 0.636, 0.955, 0.955, 1.0]","[0.0, 0.045, 0.227, 0.227, 0.273, 0.273, 0.318, 0.318, 0.455, 0.455, 0.5, 0.5, 0.545, 0.545, 0.773, 0.773, 0.818, 0.818, 0.909, 0.909, 0.955, 0.955, 1.0, 1.0]"
ExtraTreesClassifier_Bagging,0.721 ± 0.07,0.75 ± 0.074,0.818 ± 0.1,0.692 ± 0.072,0.754 ± 0.086,"[0.0, 0.0, 0.0, 0.045, 0.045, 0.091, 0.091, 0.136, 0.136, 0.227, 0.227, 0.318, 0.318, 0.455, 0.455, 0.545, 0.545, 0.682, 0.682, 0.773, 0.773, 0.955, 0.955, 1.0, 1.0]","[0.0, 0.045, 0.091, 0.091, 0.136, 0.136, 0.182, 0.182, 0.409, 0.409, 0.5, 0.5, 0.545, 0.545, 0.636, 0.636, 0.682, 0.682, 0.727, 0.727, 0.773, 0.773, 0.955, 0.955, 1.0]"
XGBClassifier_Bagging,0.705 ± 0.061,0.711 ± 0.079,0.773 ± 0.108,0.7 ± 0.063,0.744 ± 0.083,"[0.0, 0.0, 0.045, 0.045, 0.091, 0.091, 0.136, 0.136, 0.182, 0.182, 0.364, 0.364, 0.409, 0.409, 0.545, 0.545, 0.591, 0.591, 0.818, 0.818, 0.909, 0.909, 0.955, 0.955, 1.0]","[0.0, 0.045, 0.045, 0.136, 0.136, 0.227, 0.227, 0.318, 0.318, 0.455, 0.455, 0.545, 0.545, 0.727, 0.727, 0.773, 0.773, 0.818, 0.818, 0.864, 0.864, 0.909, 0.909, 1.0, 1.0]"
