Name,Accuracy,F1 Score,Recall,Precision,ROC AUC,Best FPR,Best TPR
AdaBoostClassifier,0.549 ± 0.035,0.376 ± 0.091,0.286 ± 0.118,0.622 ± 0.071,0.556 ± 0.034,"[0.0, 0.111, 0.127, 1.0]","[0.0, 0.19, 0.317, 1.0]"
RandomForestClassifier,0.56 ± 0.044,0.532 ± 0.053,0.503 ± 0.068,0.569 ± 0.053,0.582 ± 0.044,"[0.0, 0.016, 0.016, 0.063, 0.063, 0.095, 0.095, 0.111, 0.111, 0.143, 0.143, 0.159, 0.159, 0.19, 0.19, 0.222, 0.222, 0.238, 0.238, 0.254, 0.254, 0.27, 0.27, 0.365, 0.365, 0.381, 0.381, 0.413, 0.413, 0.429, 0.429, 0.444, 0.444, 0.54, 0.54, 0.556, 0.556, 0.603, 0.603, 0.635, 0.635, 0.651, 0.651, 0.746, 0.746, 0.762, 0.762, 0.841, 0.841, 0.857, 0.857, 0.889, 0.889, 0.905, 0.905, 0.937, 0.937, 0.984, 0.984, 1.0]","[0.0, 0.0, 0.079, 0.079, 0.127, 0.127, 0.159, 0.159, 0.222, 0.222, 0.286, 0.286, 0.333, 0.333, 0.381, 0.381, 0.413, 0.413, 0.524, 0.524, 0.54, 0.54, 0.556, 0.556, 0.571, 0.571, 0.619, 0.619, 0.635, 0.635, 0.683, 0.683, 0.698, 0.698, 0.73, 0.73, 0.762, 0.762, 0.778, 0.778, 0.825, 0.825, 0.857, 0.857, 0.873, 0.873, 0.889, 0.889, 0.905, 0.905, 0.921, 0.921, 0.937, 0.937, 0.968, 0.968, 0.984, 0.984, 1.0, 1.0]"
ExtraTreesClassifier,0.547 ± 0.029,0.472 ± 0.046,0.407 ± 0.058,0.567 ± 0.043,0.568 ± 0.035,"[0.0, 0.0, 0.0, 0.032, 0.032, 0.048, 0.048, 0.063, 0.063, 0.079, 0.079, 0.127, 0.127, 0.143, 0.143, 0.159, 0.159, 0.175, 0.175, 0.222, 0.222, 0.238, 0.238, 0.27, 0.27, 0.349, 0.349, 0.365, 0.365, 0.429, 0.429, 0.46, 0.476, 0.492, 0.492, 0.524, 0.524, 0.54, 0.54, 0.556, 0.556, 0.587, 0.587, 0.603, 0.603, 0.698, 0.73, 0.746, 0.746, 0.762, 0.762, 0.825, 0.857, 0.857, 0.905, 0.921, 0.921, 0.937, 0.984, 0.984, 1.0]","[0.0, 0.016, 0.032, 0.032, 0.063, 0.063, 0.079, 0.079, 0.095, 0.095, 0.111, 0.111, 0.365, 0.365, 0.381, 0.381, 0.397, 0.397, 0.413, 0.413, 0.444, 0.444, 0.46, 0.46, 0.524, 0.524, 0.571, 0.571, 0.587, 0.587, 0.651, 0.651, 0.667, 0.667, 0.683, 0.683, 0.698, 0.698, 0.714, 0.714, 0.746, 0.746, 0.762, 0.762, 0.825, 0.825, 0.825, 0.841, 0.873, 0.873, 0.889, 0.889, 0.889, 0.937, 0.937, 0.952, 0.968, 0.984, 0.984, 1.0, 1.0]"
XGBClassifier,0.535 ± 0.041,0.505 ± 0.05,0.478 ± 0.069,0.541 ± 0.048,0.547 ± 0.049,"[0.0, 0.0, 0.079, 0.079, 0.079, 0.095, 0.111, 0.127, 0.159, 0.159, 0.175, 0.175, 0.19, 0.19, 0.206, 0.238, 0.238, 0.254, 0.254, 0.286, 0.286, 0.302, 0.333, 0.333, 0.349, 0.349, 0.365, 0.365, 0.397, 0.429, 0.444, 0.444, 0.476, 0.476, 0.492, 0.492, 0.524, 0.54, 0.54, 0.556, 0.603, 0.603, 0.603, 0.635, 0.778, 0.778, 0.825, 0.857, 0.857, 0.873, 0.873, 0.889, 0.889, 0.905, 0.905, 0.921, 1.0]","[0.0, 0.016, 0.095, 0.143, 0.206, 0.206, 0.238, 0.238, 0.238, 0.286, 0.302, 0.317, 0.317, 0.333, 0.333, 0.333, 0.381, 0.381, 0.397, 0.397, 0.413, 0.413, 0.413, 0.429, 0.429, 0.444, 0.444, 0.492, 0.492, 0.492, 0.492, 0.524, 0.524, 0.556, 0.556, 0.587, 0.603, 0.603, 0.619, 0.619, 0.651, 0.683, 0.714, 0.746, 0.778, 0.825, 0.825, 0.841, 0.873, 0.873, 0.889, 0.905, 0.921, 0.921, 0.937, 0.952, 1.0]"
AdaBoostClassifier_Bagging,0.627 ± 0.041,0.658 ± 0.08,0.762 ± 0.123,0.704 ± 0.07,0.678 ± 0.046,"[0.0, 0.016, 0.032, 0.032, 0.048, 0.048, 0.063, 0.063, 0.063, 0.111, 0.111, 0.127, 0.127, 0.127, 0.143, 0.19, 0.222, 0.238, 0.254, 0.349, 0.349, 0.365, 0.397, 0.397, 0.429, 0.429, 0.46, 0.54, 0.556, 0.667, 0.778, 0.794, 0.81, 0.81, 0.825, 0.873, 0.968, 0.984, 1.0]","[0.0, 0.0, 0.016, 0.063, 0.095, 0.143, 0.143, 0.175, 0.19, 0.19, 0.254, 0.27, 0.286, 0.317, 0.333, 0.397, 0.413, 0.413, 0.444, 0.492, 0.556, 0.571, 0.587, 0.603, 0.683, 0.698, 0.73, 0.778, 0.778, 0.794, 0.841, 0.841, 0.857, 0.873, 0.873, 0.889, 0.984, 0.984, 1.0]"
RandomForestClassifier_Bagging,0.69 ± 0.049,0.711 ± 0.06,0.762 ± 0.077,0.673 ± 0.051,0.692 ± 0.054,"[0.0, 0.016, 0.032, 0.032, 0.048, 0.048, 0.063, 0.063, 0.079, 0.079, 0.111, 0.111, 0.127, 0.127, 0.206, 0.206, 0.238, 0.238, 0.254, 0.254, 0.286, 0.286, 0.302, 0.302, 0.317, 0.317, 0.365, 0.365, 0.413, 0.413, 0.444, 0.444, 0.46, 0.46, 0.476, 0.476, 0.508, 0.508, 0.54, 0.54, 0.603, 0.603, 0.667, 0.667, 0.683, 0.683, 0.698, 0.698, 0.73, 0.73, 0.841, 0.841, 0.873, 0.873, 0.905, 0.905, 0.952, 0.952, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.063, 0.063, 0.079, 0.079, 0.206, 0.206, 0.222, 0.222, 0.302, 0.302, 0.317, 0.317, 0.333, 0.333, 0.365, 0.365, 0.397, 0.397, 0.556, 0.556, 0.571, 0.571, 0.587, 0.587, 0.603, 0.603, 0.619, 0.619, 0.714, 0.714, 0.73, 0.73, 0.746, 0.746, 0.762, 0.762, 0.825, 0.825, 0.841, 0.841, 0.857, 0.857, 0.873, 0.873, 0.889, 0.889, 0.905, 0.905, 0.921, 0.921, 0.937, 0.937, 0.968, 0.968, 0.984, 0.984, 1.0]"
ExtraTreesClassifier_Bagging,0.635 ± 0.04,0.605 ± 0.051,0.571 ± 0.06,0.698 ± 0.052,0.665 ± 0.048,"[0.0, 0.016, 0.016, 0.032, 0.032, 0.063, 0.063, 0.095, 0.095, 0.111, 0.111, 0.127, 0.127, 0.175, 0.175, 0.19, 0.19, 0.206, 0.206, 0.238, 0.238, 0.27, 0.27, 0.286, 0.286, 0.333, 0.333, 0.349, 0.349, 0.365, 0.365, 0.397, 0.397, 0.413, 0.413, 0.524, 0.524, 0.556, 0.556, 0.571, 0.571, 0.587, 0.587, 0.683, 0.683, 0.698, 0.698, 0.714, 0.714, 0.746, 0.746, 0.841, 0.841, 0.873, 0.873, 0.905, 0.905, 0.952, 0.952, 1.0, 1.0]","[0.0, 0.0, 0.048, 0.048, 0.063, 0.063, 0.127, 0.127, 0.286, 0.286, 0.317, 0.317, 0.333, 0.333, 0.381, 0.381, 0.397, 0.397, 0.492, 0.492, 0.524, 0.524, 0.54, 0.54, 0.587, 0.587, 0.603, 0.603, 0.619, 0.619, 0.635, 0.635, 0.667, 0.667, 0.698, 0.698, 0.73, 0.73, 0.762, 0.762, 0.794, 0.794, 0.825, 0.825, 0.873, 0.873, 0.889, 0.889, 0.905, 0.905, 0.921, 0.921, 0.937, 0.937, 0.952, 0.952, 0.968, 0.968, 0.984, 0.984, 1.0]"
XGBClassifier_Bagging,0.619 ± 0.041,0.603 ± 0.052,0.619 ± 0.069,0.651 ± 0.048,0.69 ± 0.045,"[0.0, 0.016, 0.048, 0.048, 0.063, 0.063, 0.079, 0.079, 0.095, 0.095, 0.127, 0.127, 0.143, 0.143, 0.175, 0.175, 0.19, 0.19, 0.222, 0.222, 0.254, 0.254, 0.27, 0.27, 0.333, 0.333, 0.365, 0.365, 0.397, 0.397, 0.413, 0.413, 0.429, 0.429, 0.46, 0.46, 0.476, 0.476, 0.524, 0.524, 0.54, 0.54, 0.587, 0.587, 0.603, 0.603, 0.683, 0.683, 0.698, 0.698, 0.746, 0.746, 0.762, 0.762, 0.81, 0.81, 0.825, 0.825, 0.841, 0.841, 0.921, 0.921, 0.937, 0.937, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.032, 0.032, 0.159, 0.159, 0.19, 0.19, 0.238, 0.238, 0.27, 0.27, 0.333, 0.333, 0.381, 0.381, 0.444, 0.444, 0.46, 0.46, 0.476, 0.476, 0.508, 0.508, 0.524, 0.524, 0.556, 0.556, 0.571, 0.571, 0.587, 0.587, 0.603, 0.603, 0.651, 0.651, 0.667, 0.667, 0.714, 0.714, 0.762, 0.762, 0.778, 0.778, 0.841, 0.841, 0.857, 0.857, 0.873, 0.873, 0.889, 0.889, 0.905, 0.905, 0.921, 0.921, 0.937, 0.937, 0.952, 0.952, 0.968, 0.968, 0.984, 0.984, 1.0]"
