Name,Accuracy,F1 Score,Recall,Precision,ROC AUC,Best FPR,Best TPR
AdaBoostClassifier,0.561 ± 0.051,0.563 ± 0.08,0.584 ± 0.15,0.562 ± 0.054,0.574 ± 0.051,"[0.0, 0.302, 1.0]","[0.0, 0.419, 1.0]"
RandomForestClassifier,0.539 ± 0.05,0.534 ± 0.068,0.535 ± 0.097,0.537 ± 0.05,0.547 ± 0.052,"[0.0, 0.0, 0.023, 0.023, 0.07, 0.07, 0.093, 0.093, 0.163, 0.163, 0.233, 0.233, 0.256, 0.256, 0.279, 0.279, 0.302, 0.302, 0.326, 0.326, 0.349, 0.349, 0.395, 0.395, 0.442, 0.442, 0.465, 0.465, 0.488, 0.488, 0.535, 0.535, 0.558, 0.558, 0.581, 0.581, 0.628, 0.628, 0.791, 0.791, 0.907, 0.907, 0.953, 0.953, 1.0]","[0.0, 0.023, 0.023, 0.116, 0.116, 0.163, 0.163, 0.233, 0.233, 0.302, 0.302, 0.395, 0.395, 0.442, 0.442, 0.488, 0.488, 0.512, 0.512, 0.558, 0.558, 0.581, 0.581, 0.628, 0.628, 0.651, 0.651, 0.698, 0.698, 0.721, 0.721, 0.744, 0.744, 0.814, 0.814, 0.884, 0.884, 0.907, 0.907, 0.953, 0.953, 0.977, 0.977, 1.0, 1.0]"
ExtraTreesClassifier,0.54 ± 0.059,0.497 ± 0.076,0.459 ± 0.087,0.548 ± 0.075,0.557 ± 0.063,"[0.0, 0.0, 0.0, 0.023, 0.023, 0.047, 0.047, 0.093, 0.093, 0.14, 0.14, 0.233, 0.233, 0.349, 0.349, 0.395, 0.395, 0.419, 0.419, 0.512, 0.512, 0.535, 0.535, 0.558, 0.558, 0.605, 0.605, 0.698, 0.698, 0.744, 0.744, 0.93, 0.93, 1.0]","[0.0, 0.023, 0.047, 0.047, 0.07, 0.07, 0.116, 0.116, 0.163, 0.163, 0.372, 0.372, 0.488, 0.488, 0.535, 0.535, 0.651, 0.651, 0.674, 0.674, 0.698, 0.698, 0.791, 0.791, 0.814, 0.814, 0.837, 0.837, 0.86, 0.86, 0.953, 0.953, 1.0, 1.0]"
XGBClassifier,0.528 ± 0.048,0.512 ± 0.067,0.503 ± 0.103,0.531 ± 0.054,0.551 ± 0.053,"[0.0, 0.0, 0.047, 0.047, 0.093, 0.093, 0.186, 0.186, 0.512, 0.581, 0.581, 0.605, 0.651, 0.651, 0.674, 0.674, 0.721, 0.744, 0.744, 0.767, 0.814, 0.86, 0.93, 1.0]","[0.0, 0.023, 0.093, 0.116, 0.186, 0.209, 0.326, 0.349, 0.744, 0.744, 0.767, 0.767, 0.767, 0.86, 0.86, 0.884, 0.907, 0.93, 0.953, 0.953, 0.977, 0.977, 0.977, 1.0]"
AdaBoostClassifier_Bagging,0.674 ± 0.046,0.667 ± 0.06,0.791 ± 0.101,0.714 ± 0.049,0.672 ± 0.047,"[0.0, 0.0, 0.093, 0.14, 0.186, 0.186, 0.186, 0.209, 0.256, 0.279, 0.279, 0.302, 0.302, 0.302, 0.419, 0.442, 0.465, 0.488, 0.535, 0.535, 0.628, 0.721, 0.767, 0.767, 0.791, 0.814, 0.86, 0.884, 0.953, 1.0]","[0.0, 0.023, 0.023, 0.047, 0.047, 0.163, 0.209, 0.209, 0.233, 0.256, 0.302, 0.302, 0.395, 0.465, 0.558, 0.558, 0.605, 0.628, 0.651, 0.698, 0.86, 0.907, 0.907, 0.93, 0.977, 1.0, 1.0, 1.0, 1.0, 1.0]"
RandomForestClassifier_Bagging,0.686 ± 0.052,0.675 ± 0.059,0.721 ± 0.079,0.7 ± 0.053,0.693 ± 0.052,"[0.0, 0.023, 0.023, 0.093, 0.093, 0.116, 0.116, 0.14, 0.14, 0.186, 0.186, 0.256, 0.256, 0.279, 0.279, 0.326, 0.326, 0.349, 0.349, 0.372, 0.372, 0.465, 0.465, 0.488, 0.488, 0.558, 0.558, 0.605, 0.605, 0.628, 0.628, 0.651, 0.651, 0.698, 0.698, 0.767, 0.767, 0.837, 0.837, 0.884, 0.884, 0.907, 0.907, 1.0]","[0.0, 0.0, 0.023, 0.023, 0.07, 0.07, 0.116, 0.116, 0.233, 0.233, 0.279, 0.279, 0.326, 0.326, 0.465, 0.465, 0.488, 0.488, 0.535, 0.535, 0.628, 0.628, 0.651, 0.651, 0.744, 0.744, 0.767, 0.767, 0.791, 0.791, 0.837, 0.837, 0.86, 0.86, 0.884, 0.884, 0.907, 0.907, 0.953, 0.953, 0.977, 0.977, 1.0, 1.0]"
ExtraTreesClassifier_Bagging,0.651 ± 0.043,0.644 ± 0.042,0.698 ± 0.064,0.676 ± 0.044,0.69 ± 0.048,"[0.0, 0.023, 0.07, 0.07, 0.116, 0.116, 0.14, 0.14, 0.163, 0.163, 0.209, 0.209, 0.256, 0.256, 0.279, 0.279, 0.326, 0.326, 0.395, 0.395, 0.419, 0.419, 0.442, 0.442, 0.465, 0.465, 0.488, 0.488, 0.535, 0.535, 0.581, 0.581, 0.605, 0.605, 0.628, 0.628, 0.651, 0.651, 0.721, 0.721, 0.814, 0.814, 0.884, 0.884, 0.907, 0.907, 0.93, 0.93, 1.0]","[0.0, 0.0, 0.0, 0.023, 0.023, 0.047, 0.047, 0.116, 0.116, 0.186, 0.186, 0.233, 0.233, 0.256, 0.256, 0.326, 0.326, 0.419, 0.419, 0.465, 0.465, 0.512, 0.512, 0.535, 0.535, 0.558, 0.558, 0.581, 0.581, 0.651, 0.651, 0.721, 0.721, 0.767, 0.767, 0.86, 0.86, 0.884, 0.884, 0.907, 0.907, 0.93, 0.93, 0.953, 0.953, 0.977, 0.977, 1.0, 1.0]"
XGBClassifier_Bagging,0.663 ± 0.052,0.667 ± 0.066,0.721 ± 0.095,0.659 ± 0.052,0.668 ± 0.058,"[0.0, 0.023, 0.07, 0.07, 0.093, 0.093, 0.14, 0.14, 0.209, 0.209, 0.233, 0.233, 0.256, 0.256, 0.302, 0.302, 0.326, 0.326, 0.349, 0.349, 0.372, 0.372, 0.395, 0.395, 0.419, 0.419, 0.442, 0.442, 0.465, 0.465, 0.512, 0.512, 0.605, 0.605, 0.698, 0.698, 0.721, 0.721, 0.744, 0.744, 0.791, 0.791, 0.814, 0.814, 0.86, 0.86, 0.884, 0.884, 1.0]","[0.0, 0.0, 0.0, 0.023, 0.023, 0.047, 0.047, 0.116, 0.116, 0.186, 0.186, 0.256, 0.256, 0.372, 0.372, 0.395, 0.395, 0.419, 0.419, 0.442, 0.442, 0.465, 0.465, 0.535, 0.535, 0.558, 0.558, 0.581, 0.581, 0.721, 0.721, 0.767, 0.767, 0.791, 0.791, 0.814, 0.814, 0.837, 0.837, 0.884, 0.884, 0.93, 0.93, 0.953, 0.953, 0.977, 0.977, 1.0, 1.0]"
