Name,Accuracy,F1 Score,Recall,Precision,ROC AUC,Best FPR,Best TPR
AdaBoostClassifier,0.571 ± 0.052,0.511 ± 0.118,0.477 ± 0.165,0.595 ± 0.068,0.57 ± 0.052,"[0.0, 0.048, 1.0]","[0.0, 0.098, 1.0]"
RandomForestClassifier,0.542 ± 0.069,0.534 ± 0.078,0.529 ± 0.098,0.543 ± 0.07,0.562 ± 0.078,"[0.0, 0.0, 0.095, 0.095, 0.119, 0.119, 0.143, 0.143, 0.167, 0.167, 0.214, 0.214, 0.238, 0.238, 0.262, 0.262, 0.357, 0.357, 0.476, 0.476, 0.524, 0.524, 0.619, 0.619, 0.643, 0.643, 0.667, 0.667, 0.714, 0.714, 0.738, 0.738, 0.833, 0.833, 0.857, 0.857, 0.905, 0.905, 0.976, 0.976, 1.0, 1.0]","[0.0, 0.024, 0.024, 0.049, 0.049, 0.073, 0.073, 0.171, 0.171, 0.268, 0.268, 0.317, 0.317, 0.366, 0.366, 0.415, 0.415, 0.439, 0.439, 0.61, 0.61, 0.634, 0.634, 0.659, 0.659, 0.683, 0.683, 0.707, 0.707, 0.732, 0.732, 0.756, 0.756, 0.854, 0.854, 0.927, 0.927, 0.951, 0.951, 0.976, 0.976, 1.0]"
ExtraTreesClassifier,0.548 ± 0.064,0.518 ± 0.076,0.491 ± 0.094,0.555 ± 0.075,0.565 ± 0.067,"[0.0, 0.024, 0.024, 0.071, 0.071, 0.095, 0.095, 0.119, 0.119, 0.143, 0.143, 0.167, 0.167, 0.238, 0.238, 0.262, 0.262, 0.286, 0.286, 0.31, 0.31, 0.333, 0.333, 0.357, 0.357, 0.405, 0.405, 0.452, 0.452, 0.524, 0.524, 0.548, 0.548, 0.571, 0.571, 0.786, 0.786, 0.952, 0.952, 1.0, 1.0]","[0.0, 0.0, 0.024, 0.024, 0.073, 0.073, 0.122, 0.122, 0.293, 0.293, 0.341, 0.341, 0.366, 0.366, 0.415, 0.415, 0.488, 0.488, 0.512, 0.512, 0.537, 0.537, 0.561, 0.561, 0.585, 0.585, 0.61, 0.61, 0.659, 0.659, 0.707, 0.707, 0.756, 0.756, 0.78, 0.78, 0.829, 0.829, 0.927, 0.927, 1.0]"
XGBClassifier,0.53 ± 0.054,0.523 ± 0.074,0.523 ± 0.1,0.529 ± 0.06,0.538 ± 0.069,"[0.0, 0.0, 0.0, 0.024, 0.024, 0.071, 0.071, 0.119, 0.119, 0.167, 0.167, 0.262, 0.262, 0.286, 0.286, 0.31, 0.31, 0.357, 0.357, 0.429, 0.429, 0.476, 0.524, 0.524, 0.571, 0.595, 0.595, 0.643, 0.643, 0.667, 0.667, 0.714, 0.786, 0.786, 0.833, 0.833, 0.857, 0.905, 0.929, 0.952, 1.0, 1.0]","[0.0, 0.024, 0.049, 0.049, 0.146, 0.146, 0.293, 0.293, 0.317, 0.317, 0.341, 0.341, 0.366, 0.366, 0.39, 0.39, 0.439, 0.439, 0.488, 0.488, 0.512, 0.537, 0.537, 0.561, 0.561, 0.585, 0.61, 0.61, 0.756, 0.756, 0.829, 0.829, 0.829, 0.854, 0.854, 0.902, 0.902, 0.951, 0.951, 0.976, 0.976, 1.0]"
AdaBoostClassifier_Bagging,0.663 ± 0.052,0.695 ± 0.07,0.81 ± 0.114,0.651 ± 0.049,0.729 ± 0.071,"[0.0, 0.024, 0.048, 0.048, 0.048, 0.071, 0.071, 0.143, 0.143, 0.167, 0.167, 0.167, 0.214, 0.214, 0.214, 0.214, 0.238, 0.286, 0.31, 0.31, 0.31, 0.333, 0.357, 0.357, 0.381, 0.452, 0.476, 0.595, 0.595, 0.595, 0.619, 0.643, 0.643, 0.738, 0.786, 0.786, 0.833, 0.833, 0.857, 0.857, 0.881, 0.881, 0.929, 0.952, 1.0]","[0.0, 0.0, 0.0, 0.049, 0.098, 0.098, 0.122, 0.122, 0.146, 0.146, 0.171, 0.22, 0.22, 0.244, 0.293, 0.341, 0.366, 0.366, 0.415, 0.439, 0.512, 0.512, 0.537, 0.561, 0.561, 0.585, 0.61, 0.61, 0.634, 0.683, 0.756, 0.756, 0.78, 0.829, 0.829, 0.878, 0.878, 0.902, 0.902, 0.927, 0.927, 0.976, 0.976, 1.0, 1.0]"
RandomForestClassifier_Bagging,0.663 ± 0.04,0.674 ± 0.049,0.714 ± 0.075,0.659 ± 0.037,0.674 ± 0.055,"[0.0, 0.024, 0.024, 0.167, 0.167, 0.19, 0.19, 0.238, 0.238, 0.262, 0.262, 0.286, 0.286, 0.31, 0.31, 0.357, 0.357, 0.405, 0.405, 0.429, 0.429, 0.452, 0.452, 0.476, 0.476, 0.548, 0.548, 0.619, 0.619, 0.69, 0.69, 0.714, 0.714, 0.738, 0.738, 0.786, 0.786, 0.857, 0.857, 0.881, 0.881, 0.929, 0.929, 0.952, 0.952, 1.0]","[0.0, 0.0, 0.122, 0.122, 0.195, 0.195, 0.244, 0.244, 0.268, 0.268, 0.293, 0.293, 0.317, 0.317, 0.341, 0.341, 0.366, 0.366, 0.537, 0.537, 0.585, 0.585, 0.61, 0.61, 0.634, 0.634, 0.707, 0.707, 0.732, 0.732, 0.78, 0.78, 0.829, 0.829, 0.854, 0.854, 0.878, 0.878, 0.902, 0.902, 0.927, 0.927, 0.976, 0.976, 1.0, 1.0]"
ExtraTreesClassifier_Bagging,0.675 ± 0.044,0.69 ± 0.042,0.738 ± 0.066,0.667 ± 0.042,0.705 ± 0.062,"[0.0, 0.0, 0.0, 0.024, 0.024, 0.048, 0.048, 0.167, 0.167, 0.19, 0.19, 0.214, 0.214, 0.286, 0.286, 0.31, 0.31, 0.333, 0.333, 0.405, 0.405, 0.429, 0.429, 0.476, 0.476, 0.5, 0.5, 0.524, 0.524, 0.571, 0.571, 0.619, 0.619, 0.643, 0.643, 0.69, 0.69, 0.714, 0.714, 0.738, 0.738, 0.786, 0.786, 0.833, 0.833, 0.929, 0.929, 1.0]","[0.0, 0.024, 0.073, 0.073, 0.098, 0.098, 0.146, 0.146, 0.22, 0.22, 0.244, 0.244, 0.293, 0.293, 0.317, 0.317, 0.341, 0.341, 0.415, 0.415, 0.488, 0.488, 0.512, 0.512, 0.537, 0.537, 0.561, 0.561, 0.634, 0.634, 0.683, 0.683, 0.707, 0.707, 0.756, 0.756, 0.78, 0.78, 0.829, 0.829, 0.854, 0.854, 0.878, 0.878, 0.927, 0.927, 1.0, 1.0]"
XGBClassifier_Bagging,0.651 ± 0.047,0.681 ± 0.059,0.738 ± 0.083,0.65 ± 0.046,0.676 ± 0.056,"[0.0, 0.024, 0.024, 0.071, 0.071, 0.095, 0.095, 0.19, 0.19, 0.238, 0.238, 0.286, 0.286, 0.31, 0.31, 0.333, 0.333, 0.405, 0.405, 0.429, 0.429, 0.452, 0.452, 0.5, 0.5, 0.524, 0.524, 0.786, 0.786, 0.81, 0.81, 0.833, 0.833, 0.905, 0.905, 0.952, 0.952, 1.0, 1.0]","[0.0, 0.0, 0.024, 0.024, 0.049, 0.049, 0.098, 0.098, 0.171, 0.171, 0.22, 0.22, 0.317, 0.317, 0.341, 0.341, 0.39, 0.39, 0.415, 0.415, 0.439, 0.439, 0.537, 0.537, 0.585, 0.585, 0.634, 0.634, 0.659, 0.659, 0.707, 0.707, 0.878, 0.878, 0.951, 0.951, 0.976, 0.976, 1.0]"
