Feature,Value
 eye_lmk_y_18_iqr,0.002
 eye_lmk_y_55_iqr,0.002
 eye_lmk_Y_20_iqr,0.002
 y_66_iqr,0.001
 eye_lmk_y_24_kurtosis,0.001
 Y_24_iqr,0.001
 y_31_iqr,0.001
 eye_lmk_y_26_iqr,0.001
 eye_lmk_y_47_iqr,0.001
 eye_lmk_y_39_iqr,0.001
 eye_lmk_y_28_iqr,0.001
 eye_lmk_y_50_iqr,0.001
 eye_lmk_Y_52_iqr,0.001
 Y_67_iqr,0.001
 eye_lmk_Y_32_iqr,0.001
 eye_lmk_y_49_iqr,0.001
 y_33_iqr,0.001
 eye_lmk_Y_24_iqr,0.001
 eye_lmk_Y_42_iqr,0.001
 y_39_kurtosis,0.001
 eye_lmk_y_4_kurtosis,0.001
 eye_lmk_y_45_iqr,0.001
 eye_lmk_y_44_iqr,0.001
 eye_lmk_Y_43_iqr,0.001
 eye_lmk_Y_4_iqr,0.001
 Y_25_iqr,0.001
 eye_lmk_Y_25_iqr,0.001
 eye_lmk_y_48_iqr,0.001
 eye_lmk_Y_7_iqr,0.001
 y_45_iqr,0.001
 y_28_iqr,0.001
 y_21_iqr,0.001
 eye_lmk_Y_38_iqr,0.001
 y_39_iqr,0.001
 eye_lmk_Y_50_iqr,0.001
 eye_lmk_y_55_skew,0.001
 eye_lmk_Y_18_iqr,0.001
 y_18_iqr,0.001
 y_41_iqr,0.001
 eye_lmk_y_52_iqr,0.001
 eye_lmk_Y_27_iqr,0.001
 y_32_iqr,0.001
 eye_lmk_y_6_iqr,0.001
 y_47_iqr,0.001
 eye_lmk_y_31_iqr,0.001
 y_46_iqr,0.001
 eye_lmk_y_5_iqr,0.001
 eye_lmk_Y_41_iqr,0.001
 y_34_iqr,0.001
 y_42_iqr,0.001
 eye_lmk_y_22_iqr,0.001
 y_35_iqr,0.001
 eye_lmk_Y_26_iqr,0.001
 eye_lmk_y_23_iqr,0.001
 eye_lmk_Y_34_iqr,0.001
 eye_lmk_Y_22_iqr,0.001
 eye_lmk_Y_36_iqr,0.001
 y_37_iqr,0.001
 eye_lmk_y_21_iqr,0.001
 y_38_iqr,0.001
 eye_lmk_y_9_iqr,0.001
 Y_47_iqr,0.001
 y_44_iqr,0.001
 eye_lmk_y_11_iqr,0.001
 eye_lmk_y_4_iqr,0.001
 eye_lmk_y_40_iqr,0.001
 eye_lmk_Y_10_iqr,0.001
 eye_lmk_Y_30_iqr,0.001
 eye_lmk_y_13_iqr,0.001
 y_62_iqr,0.001
 eye_lmk_Y_53_iqr,0.001
 eye_lmk_Y_40_iqr,0.001
 eye_lmk_Y_21_iqr,0.001
 y_17_iqr,0.001
 eye_lmk_Y_46_iqr,0.0
