Name,Value
 p_10_max,7.685431397401995e-05
 AU04_c_mean,7.871100468750009e-05
 AU04_c_q75,0.0001138936528818928
 p_12_max,0.00012024616958829073
 p_10_q75,0.0001783408434222029
 p_10_mean,0.000201834895110647
 p_10_median,0.00028358237601511406
 AU04_c_iqr,0.0003388901633048414
 AU04_c_std,0.00047429041642616166
 AU04_c_var,0.00047528963707075606
 p_26_q75,0.0005409224067461203
 AU04_c_max,0.0005436596179384397
 p_10_q25,0.0007778052739497422
 AU04_r_q75,0.0010848514582040478
 p_2_max,0.001111331727023019
 AU04_r_max,0.0012102821956132095
 p_19_max,0.0014662483107008145
 AU04_r_median,0.0014687017520446856
 AU04_c_range,0.0015841314194185174
 AU04_r_mean,0.0016045395142290642
 eye_lmk_Z_6_kurtosis,0.001662494758317326
 eye_lmk_Z_21_kurtosis,0.0016900132907212142
 eye_lmk_Z_13_kurtosis,0.0017087007455997723
 eye_lmk_Z_17_kurtosis,0.0017171975879244972
 eye_lmk_Z_15_kurtosis,0.001718647176945769
 eye_lmk_Z_14_kurtosis,0.0017356453406962501
 eye_lmk_Z_7_kurtosis,0.0017464334388717657
 eye_lmk_Z_22_kurtosis,0.0017482504227163357
 eye_lmk_Z_16_kurtosis,0.001757172290510562
 eye_lmk_Z_5_kurtosis,0.001763610295473927
 eye_lmk_Z_18_kurtosis,0.001779340105748342
 eye_lmk_Z_23_kurtosis,0.0018253257801011849
 eye_lmk_Z_20_kurtosis,0.0018300831947996744
 eye_lmk_Z_4_kurtosis,0.0018481140279980376
 eye_lmk_Z_12_kurtosis,0.0018521743847495532
 eye_lmk_Z_19_kurtosis,0.001882787713598352
 eye_lmk_Z_11_kurtosis,0.001935719768835294
 eye_lmk_Z_8_kurtosis,0.001981594922441105
 eye_lmk_Z_9_kurtosis,0.0020044707626799604
 eye_lmk_Z_27_kurtosis,0.00200451176016063
 eye_lmk_Z_10_kurtosis,0.0020056548870233414
 eye_lmk_Z_24_kurtosis,0.002040590736986597
 AU04_r_min,0.0020875878998289953
 eye_lmk_Z_26_kurtosis,0.0021206482226297676
 eye_lmk_Z_0_kurtosis,0.0021207267947369875
 eye_lmk_Z_25_kurtosis,0.0021607030351589933
 eye_lmk_Z_3_kurtosis,0.002221460081698842
 p_26_max,0.0022295248555348735
 eye_lmk_Z_1_kurtosis,0.0026214589296336805
 eye_lmk_Z_2_kurtosis,0.0026491988411848195
 p_17_max,0.003084275426061565
 p_12_q75,0.0035781250658047424
 p_2_var,0.003622705890920198
 p_2_std,0.0036269284397645717
 p_2_iqr,0.003652572120597968
 p_2_range,0.0038455239369182465
 AU07_c_mean,0.004330603331541197
 p_26_mean,0.0046361212317167074
 p_26_median,0.004967996410200021
 AU07_c_q25,0.004979531850330443
 p_11_max,0.0049902235003137525
 AU04_r_range,0.0056187041477005146
 AU04_r_q25,0.005786839816252072
 AU04_c_median,0.006065365045519418
 AU06_r_kurtosis,0.006231307468875175
 p_23_skew,0.0064889846594573235
 AU14_r_var,0.006523977174961977
 AU14_r_std,0.0065838423857927444
 AU25_r_std,0.006998675184734395
 AU25_r_var,0.007010070652906543
 p_18_mean,0.0071257590481051585
 p_19_q75,0.007158130666822993
 p_18_q75,0.007584903048811732
 p_11_q75,0.007821800867124983
 p_8_max,0.008649607953117441
 p_18_median,0.008806264316953132
