Name,Value
 p_12_max,0.00035155794172228366
 p_10_max,0.0005761253453476191
 p_10_q75,0.0008837188336397285
 p_10_mean,0.0011447942935882457
 p_24_range,0.0012186968886525693
 eye_lmk_Z_14_kurtosis,0.001243670625073327
 eye_lmk_Z_4_kurtosis,0.0012546900211228107
 eye_lmk_Z_13_kurtosis,0.0013007602223440002
 eye_lmk_Z_3_kurtosis,0.0013031257454001145
 eye_lmk_Z_23_kurtosis,0.0013112980986582676
 eye_lmk_Z_15_kurtosis,0.0013333490054801681
 eye_lmk_Z_24_kurtosis,0.001343508561301518
 eye_lmk_Z_5_kurtosis,0.0013650937642611493
 eye_lmk_Z_12_kurtosis,0.0014240866612413832
 eye_lmk_Z_22_kurtosis,0.0014278350011424266
 p_10_median,0.0014507162971706493
 eye_lmk_Z_25_kurtosis,0.0014691780899001965
 eye_lmk_Z_21_kurtosis,0.0014937018361145477
 eye_lmk_Z_16_kurtosis,0.0015130429454611517
 p_11_std,0.0015377551411294692
 p_11_var,0.0015394766879378674
 eye_lmk_Z_6_kurtosis,0.0015710265836989484
 eye_lmk_Z_17_kurtosis,0.0015789259040990887
 eye_lmk_Z_20_kurtosis,0.0015850983550670125
 eye_lmk_Z_26_kurtosis,0.0016199026685928084
 eye_lmk_Z_11_kurtosis,0.0016216478955131473
 eye_lmk_Z_27_kurtosis,0.0016627887899497372
 eye_lmk_Z_2_kurtosis,0.0016700698971414108
 eye_lmk_Z_18_kurtosis,0.0017244760581110893
 eye_lmk_Z_7_kurtosis,0.0017655113023064403
 AU04_c_mean,0.0017816703629675843
 Y_26_iqr,0.0017838601974385605
 eye_lmk_Z_10_kurtosis,0.0018579704632438287
 eye_lmk_Z_0_kurtosis,0.0019407467961834336
 eye_lmk_Z_19_kurtosis,0.0019911214745114356
 eye_lmk_Z_1_kurtosis,0.0019933363376953136
 eye_lmk_Z_9_kurtosis,0.0019997797556568966
 y_26_iqr,0.0021047384858935985
 AU04_c_q75,0.0022200800306522426
 AU10_r_range,0.002285629792781657
 eye_lmk_Z_8_kurtosis,0.0023220381402070406
 p_24_min,0.002565435113182023
 p_12_q75,0.0027706479227084997
 AU04_c_median,0.0029680399017414567
 p_2_range,0.003143670491297577
 AU12_r_kurtosis,0.0032790459540949094
 p_10_q25,0.0033223886548224744
 AU10_r_max,0.003442908329469056
 eye_lmk_y_42_iqr,0.0036032094090733954
 y_24_iqr,0.0036494865272530476
 p_10_range,0.0038401076708804646
 y_16_iqr,0.004129392258982415
 p_4_min,0.004139543633019043
 AU10_r_var,0.00421418288668544
 AU10_r_std,0.00423466197853868
 y_26_kurtosis,0.004325514378161555
 y_25_iqr,0.004506735964168778
 AU15_c_mean,0.00456155911660474
 AU15_c_std,0.004577279784528334
 AU15_c_var,0.004600925372844883
 p_4_range,0.00461618547954944
 eye_lmk_y_41_iqr,0.004633475300694631
 eye_lmk_y_40_skew,0.004696092309559695
 y_26_std,0.005233395501511396
