Name,Value
 AU04_c_max,1.238080323885546e-05
 AU04_c_range,1.6187030440953787e-05
 AU04_c_mean,4.363181147987536e-05
 p_12_max,0.00011231204226067523
 p_10_max,0.00021931492088704703
 p_21_iqr,0.00041868671612848993
 AU04_r_q75,0.0004293489692026615
 AU04_r_mean,0.0006312818399560389
 p_31_range,0.0007733198606757699
 p_11_range,0.0009533793627525517
 p_17_max,0.0009839558494987523
 AU04_r_max,0.001062682732721244
 AU04_r_median,0.001105390366496235
 p_19_max,0.0011852134718882833
 p_21_std,0.0012604868660903632
 p_21_var,0.0012622286442216682
 p_25_iqr,0.0012965213193917315
 p_2_std,0.0013620397953157445
 p_2_var,0.001362040084516402
 p_25_range,0.0013648713507072284
 Y_26_skew,0.0016221974449231575
 Y_25_skew,0.00167112277283957
 y_23_kurtosis,0.0016752767303235844
 AU10_c_std,0.0017673008700224927
 AU10_c_var,0.0017699648643317923
 p_24_min,0.001856883951177376
 AU10_c_iqr,0.0019241091764191386
 AU45_r_kurtosis,0.0020826064822628528
 p_15_range,0.002104975449038247
 y_26_skew,0.0021410203373215695
 AU45_r_skew,0.0021514214035323847
 p_2_iqr,0.0022471440652955116
 p_19_range,0.0022689370782027858
 AU04_r_q25,0.0023508253466397676
 y_21_kurtosis,0.0023694324723717228
 p_17_range,0.002377414520613928
 Y_24_skew,0.0023819894909338324
 AU45_r_median,0.0023865392794817715
 p_19_std,0.0023884332310261363
 p_19_var,0.002389577712391643
 AU17_r_mean,0.0024929922627626535
 p_2_range,0.002551241437421479
 Y_7_kurtosis,0.002554541992988749
 y_25_skew,0.0025839754700773513
 AU04_r_var,0.002623875531072138
 y_17_std,0.0026262069945194935
 y_17_var,0.002627458965171876
 AU04_r_std,0.0026542342158145027
 eye_lmk_y_29_kurtosis,0.002715143923131952
 y_26_iqr,0.0028832537472727984
 Y_8_kurtosis,0.002890381271972963
 gaze_angle_y_iqr,0.002901465862419388
 p_12_var,0.0029620910168754603
 p_12_std,0.0029674274537678045
 Y_23_skew,0.0030057911612745253
 p_26_max,0.003019966766783854
 y_22_kurtosis,0.0030900588916228573
 p_19_q75,0.0032213256160490266
 y_16_iqr,0.003268912128383633
 y_23_iqr,0.003304087137647754
 eye_lmk_y_54_kurtosis,0.003318359807108191
 eye_lmk_y_30_kurtosis,0.0033432285407244996
 AU15_c_iqr,0.0033496790355181595
 AU15_c_q75,0.0033496790355181595
 AU07_c_std,0.003359134605924667
 AU02_r_var,0.0033602892993009528
 AU07_c_var,0.0033633026299838284
 AU04_c_iqr,0.0033779218693815367
 eye_lmk_y_28_kurtosis,0.003393477379392305
 AU02_r_std,0.003401366571130429
 y_24_kurtosis,0.003402443060359806
 eye_lmk_y_40_skew,0.0034782126923924113
 AU04_c_std,0.003541989724642583
 AU04_c_var,0.0035452503730820594
 p_scale_iqr,0.003578184562582027
 gaze_1_y_iqr,0.0035828768281584824
 AU07_c_iqr,0.003600052760501442
 eye_lmk_y_3_kurtosis,0.0036891559499441394
 p_21_range,0.0037249884149013817
 eye_lmk_y_53_kurtosis,0.003775345887284286
 p_31_min,0.003782994099492905
 AU04_r_range,0.003810578274959343
 y_18_var,0.003829701811845899
 y_18_std,0.0038314665606277937
 p_12_iqr,0.003872742150005604
 p_21_max,0.003920664574439067
