Name,Value
 p_14_q25,0.00035828834822157225
 p_14_median,0.0003594529000152216
 p_10_max,0.00045866051106298257
 AU04_c_var,0.0004650068565187075
 AU04_c_std,0.00046607911404608556
 p_14_mean,0.0005915752498328502
 AU04_c_range,0.00096079896308761
 AU04_c_mean,0.0011852985590716128
 AU04_c_q75,0.0014235263314074163
 p_10_q75,0.001954467490564568
 p_14_q75,0.002237221051383157
 p_18_q25,0.003417552122330381
 AU04_c_max,0.0035648157056365633
 p_18_median,0.003972150901878745
 p_18_mean,0.004169462176846998
 p_14_min,0.004267594766557063
 p_19_min,0.00436002089516326
 pose_Tz_var,0.0045463409630506985
 pose_Tz_std,0.0045463409630506985
 p_11_std,0.00464422402048796
 p_11_var,0.004644228989611719
 Z_13_std,0.004646616398251632
 Z_13_var,0.004646617226680373
 Z_14_var,0.004706220405749309
 Z_14_std,0.004708445955702942
 AU04_c_iqr,0.004871629817661468
 p_24_min,0.004905990850112391
 Z_67_std,0.004906001229107326
 Z_67_var,0.004906002958941018
 p_2_skew,0.0049450852560954245
 Z_66_var,0.005046270799311687
 Z_66_std,0.005050711100637293
 Z_65_std,0.005226698608401098
 Z_65_var,0.005226698608401098
 Z_33_var,0.005300487062801238
 Z_33_std,0.005300487062801238
 Z_32_std,0.0053940442399292195
 Z_32_var,0.0053940451719831
 Z_50_var,0.0053940451719831
 Z_50_std,0.005403480645568681
 Z_29_var,0.005489091772617721
 Z_29_std,0.005489091772617721
 Z_34_std,0.005605139565689216
 Z_34_var,0.005605141486861269
 Z_35_var,0.005663992471532727
 Z_35_std,0.005663992471532727
 Z_31_var,0.005673854009303451
 Z_31_std,0.005673854009303451
 Z_30_std,0.0057035345388157365
 Z_30_var,0.005703535512601465
 p_8_max,0.005718422374170128
 Z_57_std,0.005753314375259312
 Z_57_var,0.005753314375259312
 AU12_r_kurtosis,0.005787257801470705
 Z_61_std,0.0058034846752139995
 Z_61_var,0.0058034846752139995
 Z_56_std,0.005843903552128544
 Z_56_var,0.0058439045446383895
 Z_44_range,0.005879358255409209
 Z_58_var,0.005894786173165143
 Z_58_std,0.005899895233891167
 pose_Rz_iqr,0.006008119475665972
 Z_51_var,0.006039385834121048
 Z_51_std,0.006039385834121048
 p_10_mean,0.00612579074683014
 p_18_q75,0.00614991800188113
 Z_28_std,0.006165862219512033
 Z_28_var,0.0061658632545106545
 Z_45_var,0.006188102631757847
 Z_45_std,0.006188102631757847
 Z_62_std,0.006229991080797038
 Z_62_var,0.006229992124184784
 Z_26_range,0.006301023452926736
 Z_7_std,0.006305567635603206
 Z_7_var,0.006305567635603206
 Z_8_std,0.0063327561137094136
 Z_8_var,0.006338208991749663
 Z_52_std,0.006343662920007728
 Z_52_var,0.006349123189475091
 Z_59_std,0.006354582389912963
 Z_59_var,0.00636005429777545
 Z_25_range,0.006366834165318161
 Z_27_std,0.006371002339329009
 Z_27_var,0.006371002339329009
 Z_46_var,0.006380120613344464
 Z_46_std,0.006383038942215962
 Z_55_std,0.00643704746000493
 Z_55_var,0.00643704746000493
 p_10_median,0.006556235517392835
 Z_46_range,0.006582121210966643
 Z_43_range,0.006610377794749256
 Z_23_range,0.006644452467804119
 Z_44_var,0.006659671678202065
 Z_44_std,0.006659671678202065
 Z_63_var,0.006661669862802682
 Z_63_std,0.006661669862802682
 Z_45_range,0.006924668363732282
 Z_47_range,0.006940378951542085
 Z_53_std,0.006982027787881235
 Z_53_var,0.006987980739571058
 Z_12_std,0.007026305161277335
 Z_12_var,0.007026305161277335
 y_25_skew,0.007035740008291275
 Z_15_std,0.007062174154757069
 Z_15_var,0.007062174154757069
 p_30_kurtosis,0.007065749279407524
 AU10_c_q75,0.007080381069756192
 Z_42_std,0.007095874579785603
 Z_42_var,0.007095874579785603
 Z_49_var,0.007168632327768937
 Z_49_std,0.007168632327768937
 Z_47_std,0.007168736225464798
 Z_47_var,0.007168736735344083
 Z_64_std,0.007316159959340993
 Z_64_var,0.007316159959340993
 Z_7_range,0.007567858543547265
 Z_43_std,0.007612055398268548
 Z_43_var,0.007612055398268548
 Z_54_var,0.007658101436841052
 Z_54_std,0.007658101436841052
 Z_9_std,0.00790724281583315
 Z_9_var,0.00790724281583315
 Z_27_range,0.007920355848304458
 Z_24_range,0.007945566399889805
 Z_22_range,0.00794711051390489
 Z_42_range,0.007960409036279379
 Z_23_var,0.0081499426558906
 Z_23_std,0.0081499426558906
 p_11_iqr,0.008156775907569639
 Z_60_std,0.008232310623290228
 Z_60_var,0.00823231191766769
 p_18_max,0.008322366952766605
 AU10_c_std,0.008363018319650797
 p_27_iqr,0.008371191544300124
 AU10_c_var,0.008377318555659824
 Z_24_std,0.00841333920045008
 Z_24_var,0.00841333920045008
 Z_26_std,0.00867264787804941
 Z_26_var,0.00867264787804941
 Z_25_std,0.00870759789150192
 pose_Rz_var,0.00871128982617521
 Z_25_var,0.008714851730625875
 Z_39_range,0.008727632409102532
 Z_22_var,0.008727815141729255
 Z_22_std,0.008727815141729255
 Z_12_range,0.008771313664101653
 Z_21_range,0.008844574164964529
 Z_38_range,0.008874036018921012
 AU10_c_mean,0.008895055129272708
 Z_48_std,0.008903740799746842
 Z_48_var,0.008903740799746842
 Z_40_range,0.008977779013925729
 Z_20_range,0.00900760626716518
 Y_24_max,0.009052507540085882
 Z_11_std,0.009097892211859417
 Z_11_var,0.009097893608995357
 AU12_c_iqr,0.009165995546526499
 Z_15_range,0.009227899205445261
 Z_28_range,0.009249636234237758
 Y_25_max,0.009388179401412162
 Y_26_max,0.009403684269327526
